file_id,worksheet_id,extension,path,duration_ms,blocks_body,blocks_heading,timestamp
01M2X9EWX2Y4H9JMFBNAB9V725,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404LL_Y4_02_02_Logistic Regression.pdf,4836,75,37,2026-09-19T16:54:47.992440849Z
01M2X9EWX2E3TYSDGRMTVEV2Y0,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404LL_Y4_02_01_Introduction to Supervised Learning.pptx.pdf,4971,106,60,2026-09-19T16:54:48.126034229Z
01M2X9EWX23BPDC1X7RV0YC4GE,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,"/home/michael/Documents/csc-404/MIVA-CSC404LL_Y4_02_03_SVM Theory_ Margins, Hyperplanes, and Kernels.pdf.pdf",5026,69,35,2026-09-19T16:54:48.182351806Z
01M2X9EWX2T3M5NVXRS0JESHSD,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/CSC 404_Machine Learning_Course Material.docx.pdf,10419,1345,271,2026-09-19T16:54:53.573170215Z
01M2X9EWX3Y9RV10Y5C0BYC2P3,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_03 (1).pdf,469,61,29,2026-09-19T16:54:54.840917448Z
01M2X9EWX2BRXTBWGGTN55FMH7,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404LL_Y4_02_04_Feature selection_ Techniques and importance.pptx.pdf,577,62,29,2026-09-19T16:54:54.94834099Z
01M2X9EWX3JQJKCJD6THH6GGYE,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_01.pdf,647,39,26,2026-09-19T16:54:55.018703565Z
01M2X9EWX371RTPYZD2ATAKS5W,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_02.pdf,705,50,25,2026-09-19T16:54:55.077132014Z
01M2X9EWX3QJH4HFYJP4D5M6E4,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_04 (1).pdf,457,55,25,2026-09-19T16:54:55.561813469Z
01M2X9EWX4AJMTMPP6BRQFGNH9,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_05  (1).pdf,545,49,31,2026-09-19T16:54:55.651206707Z
01M2X9EWX3VHSFG0T7CP5BYJDB,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_04.pdf,724,58,26,2026-09-19T16:54:55.829171756Z
01M2X9EWX3B4XW6EZM79A3RP5G,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_05 .pdf,777,49,31,2026-09-19T16:54:55.882568207Z
01M2X9EWX5QD89W1EB69JBZEWB,01M2X9EWX1ERESDV2E7CGGCCWB,pdf,/home/michael/Documents/csc-404/MIVA-CSC404RM_Y4_02_07.pdf,464,38,18,2026-09-19T16:54:56.375731323Z
