file_id,segments,total_tokens,tokens_per_segment,timestamp
01M2X9EWX2Y4H9JMFBNAB9V725,3,1675,558.3,2026-09-19T16:54:48.069119768Z
01M2X9EWX2E3TYSDGRMTVEV2Y0,2,2301,1150.5,2026-09-19T16:54:48.195299058Z
01M2X9EWX23BPDC1X7RV0YC4GE,2,1441,720.5,2026-09-19T16:54:48.220139839Z
01M2X9EWX2T3M5NVXRS0JESHSD,114,43874,384.9,2026-09-19T16:54:54.370509736Z
01M2X9EWX3Y9RV10Y5C0BYC2P3,2,1177,588.5,2026-09-19T16:54:54.881285335Z
01M2X9EWX2BRXTBWGGTN55FMH7,3,1544,514.7,2026-09-19T16:54:55.010844193Z
01M2X9EWX3JQJKCJD6THH6GGYE,3,1130,376.7,2026-09-19T16:54:55.04970603Z
01M2X9EWX371RTPYZD2ATAKS5W,3,1158,386.0,2026-09-19T16:54:55.102910347Z
01M2X9EWX3QJH4HFYJP4D5M6E4,4,1702,425.5,2026-09-19T16:54:55.617118591Z
01M2X9EWX4AJMTMPP6BRQFGNH9,3,1472,490.7,2026-09-19T16:54:55.736500362Z
01M2X9EWX3VHSFG0T7CP5BYJDB,4,1369,342.2,2026-09-19T16:54:55.883085109Z
01M2X9EWX3B4XW6EZM79A3RP5G,3,1472,490.7,2026-09-19T16:54:55.910918605Z
01M2X9EWX5QD89W1EB69JBZEWB,4,1505,376.2,2026-09-19T16:54:56.437018374Z
01M2X9EWX6P85N2FP69NJS7YW0,5,1939,387.8,2026-09-19T16:54:56.530058438Z
01M2X9EWX4CNFFWEFQVERF03GN,5,1527,305.4,2026-09-19T16:54:56.615482042Z
01M2X9EWX63REZMSP69ETH4VXT,3,1666,555.3,2026-09-19T16:54:56.692855191Z
01M2X9EWX7RZMCDEBF6MMQJ5NV,2,737,368.5,2026-09-19T16:54:56.934588216Z
01M2X9EWX7T4E12QFW57E5GC05,3,972,324.0,2026-09-19T16:54:57.003896583Z
01M2X9EWX7G66QRB29R2VKQXME,3,734,244.7,2026-09-19T16:54:57.029288967Z
01M2X9HV2ZJRGAG6K8DBE9P867,3,1675,558.3,2026-09-19T16:56:24.612338012Z
01M2X9HV2ZRDEXBXC1ZHSD2TXM,2,1441,720.5,2026-09-19T16:56:24.748463954Z
01M2X9HV2Y49D5WR2EFK6ARWTK,2,2301,1150.5,2026-09-19T16:56:24.791392041Z
01M2X9HV2YSJV9Z7YH189AE452,114,43874,384.9,2026-09-19T16:56:31.025479526Z
01M2X9HV2ZDWWKN869C41P8KNV,3,1544,514.7,2026-09-19T16:56:31.606496822Z
01M2X9HV2Z694Y06EC5P06ZZ21,3,1130,376.7,2026-09-19T16:56:31.668205347Z
01M2X9HV2Z27HB1FE39WN9F3ZJ,3,1158,386.0,2026-09-19T16:56:31.697111021Z
01M2X9HV2Z075465NWHKNRGZAR,2,1177,588.5,2026-09-19T16:56:31.759037337Z
01M2X9HV2ZEMTAQAHV7T17GVCE,4,1702,425.5,2026-09-19T16:56:32.27586345Z
01M2X9HV2ZXKWMCZM7JA2PX803,4,1369,342.2,2026-09-19T16:56:32.41047892Z
01M2X9HV305G4S5WD9K4KZNEAV,3,1472,490.7,2026-09-19T16:56:32.460804429Z
01M2X9HV309FNTRS0ZZZ1EPAQK,3,1472,490.7,2026-09-19T16:56:32.511860037Z
