metric,value
file_reads_started,70
file_reads_completed,70
parse_duration_ms.n,70
parse_duration_ms.mean,2063.7
parse_duration_ms.median,650.0
parse_duration_ms.min,201
parse_duration_ms.max,15414
parse_duration_ms.p90,6930
parse_duration_ms.total,144457
distinct_files,70
distinct_worksheets,4
extensions.pdf,70
blocks_body,9128
blocks_heading,2985
tokens_total,291352
tokenizer_calls_total,9128
tokenizer_duration_ms.n,70
tokenizer_duration_ms.mean,98.0
tokenizer_duration_ms.median,52.0
tokenizer_duration_ms.min,16
tokenizer_duration_ms.max,1112
tokenizer_duration_ms.p90,90
tokenizer_duration_ms.total,6858
segments_total,698
segment_count_per_file.n,70
segment_count_per_file.mean,10.0
segment_count_per_file.median,3.0
segment_count_per_file.min,1
segment_count_per_file.max,132
segment_count_per_file.p90,7
segment_count_per_file.total,698
generation_requests,406
generation_responses,617
generation_ok,291
generation_error,326
transport_success_rate,0.4716
verdicts.skipped,14
verdicts.rejected,99
verdicts.ok,178
acceptance_rate_of_transported,0.6117
acceptance_rate_overall,0.2885
elapsed_ok_ms.n,291
elapsed_ok_ms.mean,18805.9
elapsed_ok_ms.median,10074
elapsed_ok_ms.min,849
elapsed_ok_ms.max,156648
elapsed_ok_ms.p90,31642
elapsed_ok_ms.total,5472528
elapsed_err_ms.n,326
elapsed_err_ms.mean,7128.7
elapsed_err_ms.median,1007.0
elapsed_err_ms.min,297
elapsed_err_ms.max,186585
elapsed_err_ms.p90,3724
elapsed_err_ms.total,2323967
attempts.0,419
attempts.1,101
attempts.2,97
error_classes.401_missing_api_key,224
error_classes.402_model_not_in_free_tier,79
error_classes.429_rate_limited,20
error_classes.network_error,3
accepted_units,178
total_questions_yielded,600
questions_per_accepted_unit.MultipleChoiceQuiz.n,89
questions_per_accepted_unit.MultipleChoiceQuiz.mean,3.6
questions_per_accepted_unit.MultipleChoiceQuiz.total,320
questions_per_accepted_unit.EssayQuiz.n,89
questions_per_accepted_unit.EssayQuiz.mean,3.15
questions_per_accepted_unit.EssayQuiz.total,280
"rejection_reasons.missing ""items"" array",95
rejection_reasons.expected a Summary object with the documented fields,2
rejection_reasons.output is not valid JSON: EOF while parsing an object at line 363 column 17; also failed on the extracted object: EOF wh,1
rejection_reasons.output is not valid JSON: EOF while parsing a value at line 340 column 14; also failed on the extracted object: EOF whil,1
