file_id,tokens,calls,duration_ms,timestamp,tokens_per_call,tokens_per_sec
01M2X9EWX2Y4H9JMFBNAB9V725,1675,75,75,2026-09-19T16:54:48.068797744Z,22.33,22333.3
01M2X9EWX2E3TYSDGRMTVEV2Y0,2301,106,68,2026-09-19T16:54:48.194952843Z,21.71,33838.2
01M2X9EWX23BPDC1X7RV0YC4GE,1441,69,37,2026-09-19T16:54:48.219780849Z,20.88,38945.9
01M2X9EWX2T3M5NVXRS0JESHSD,43874,1345,796,2026-09-19T16:54:54.370200779Z,32.62,55118.1
01M2X9EWX3Y9RV10Y5C0BYC2P3,1177,61,39,2026-09-19T16:54:54.88103831Z,19.3,30179.5
01M2X9EWX2BRXTBWGGTN55FMH7,1544,62,62,2026-09-19T16:54:55.010588502Z,24.9,24903.2
01M2X9EWX3JQJKCJD6THH6GGYE,1130,39,30,2026-09-19T16:54:55.04945101Z,28.97,37666.7
01M2X9EWX371RTPYZD2ATAKS5W,1158,50,25,2026-09-19T16:54:55.102454957Z,23.16,46320.0
01M2X9EWX3QJH4HFYJP4D5M6E4,1702,55,54,2026-09-19T16:54:55.616847248Z,30.95,31518.5
01M2X9EWX4AJMTMPP6BRQFGNH9,1472,49,84,2026-09-19T16:54:55.736117667Z,30.04,17523.8
01M2X9EWX3VHSFG0T7CP5BYJDB,1369,58,53,2026-09-19T16:54:55.882911485Z,23.6,25830.2
01M2X9EWX3B4XW6EZM79A3RP5G,1472,49,27,2026-09-19T16:54:55.910708031Z,30.04,54518.5
01M2X9EWX5QD89W1EB69JBZEWB,1505,38,60,2026-09-19T16:54:56.436410245Z,39.61,25083.3
01M2X9EWX6P85N2FP69NJS7YW0,1939,53,50,2026-09-19T16:54:56.529827818Z,36.58,38780.0
01M2X9EWX4CNFFWEFQVERF03GN,1527,51,35,2026-09-19T16:54:56.615260093Z,29.94,43628.6
01M2X9EWX63REZMSP69ETH4VXT,1666,42,34,2026-09-19T16:54:56.692572332Z,39.67,49000.0
